year,period,periodName,latest,value,footnotes
2024,Q03,3rd Quarter,True,2.2,[{}]
2024,Q02,2nd Quarter,,2.1,[{}]
2024,Q01,1st Quarter,,0.7,[{}]
2023,Q04,4th Quarter,,3.1,[{}]
2023,Q03,3rd Quarter,,3.8,[{}]
2023,Q02,2nd Quarter,,3.7,[{}]
2023,Q01,1st Quarter,,0.3,[{}]
2024,Q05,Annual,True,2.3,[{}]
2025,Q01,1st Quarter,True,-0.8,[{}]
