year,period,periodName,latest,value,footnotes
2024,Q03,3rd Quarter,True,0.8,"[{'code': 'R', 'text': 'revised'}]"
2024,Q02,2nd Quarter,,-1.1,"[{'code': 'R', 'text': 'revised'}]"
2024,Q01,1st Quarter,,8.5,[{}]
2023,Q04,4th Quarter,,0.9,[{}]
2023,Q03,3rd Quarter,,1.2,[{}]
2023,Q02,2nd Quarter,,2.6,[{}]
2023,Q01,1st Quarter,,3.5,[{}]
2024,Q05,Annual,True,2.6,[{}]
2025,Q01,1st Quarter,True,5.7,[{}]
2025,Q02,2nd Quarter,true,1.6,[{}]
