year,period,periodName,latest,value,footnotes
2024,M11,November,True,30.57,"[{'code': 'P', 'text': 'preliminary'}]"
2024,M10,October,,30.48,"[{'code': 'P', 'text': 'preliminary'}]"
2024,M09,September,,30.36,[{}]
2024,M08,August,,30.26,[{}]
2024,M07,July,,30.16,[{}]
2024,M06,June,,30.07,[{}]
2024,M05,May,,29.95,[{}]
2024,M04,April,,29.83,[{}]
2024,M03,March,,29.79,[{}]
2024,M02,February,,29.7,[{}]
2024,M01,January,,29.64,[{}]
2023,M12,December,,29.51,[{}]
2023,M11,November,,29.42,[{}]
2023,M10,October,,29.29,[{}]
2023,M09,September,,29.18,[{}]
2023,M08,August,,29.09,[{}]
2023,M07,July,,29.03,[{}]
2023,M06,June,,28.9,[{}]
2023,M05,May,,28.79,[{}]
2023,M04,April,,28.68,[{}]
2023,M03,March,,28.58,[{}]
2023,M02,February,,28.42,[{}]
2023,M01,January,,28.31,[{}]
